mnist_relu_3_100.tf,0.06,53,3,,failed,drefine,1,0,5,0.0,0.703159,0.43046,3.037576,0.0,0.0
mnist_relu_3_100.tf,0.06,55,5,,failed,drefine,1,0,5,0.0,0.547517,0.378202,5.748692,0.0,0.0
mnist_relu_3_100.tf,0.06,57,7,,failed,drefine,1,0,5,0.0,0.617859,0.505689,8.359618,0.0,0.0
mnist_relu_3_100.tf,0.06,58,4,,failed,drefine,1,0,5,0.0,0.564678,0.433602,7.107782,0.0,0.0
mnist_relu_3_100.tf,0.06,59,7,,failed,drefine,1,0,5,0.0,0.550847,0.576887,8.596996,0.0,0.0
mnist_relu_3_100.tf,0.06,60,3,,failed,drefine,1,0,5,0.0,0.537797,0.362171,6.893145,0.0,0.0
mnist_relu_3_100.tf,0.06,61,2,,failed,drefine,1,0,5,0.0,0.638171,0.478343,5.24227,0.0,0.0
mnist_relu_3_100.tf,0.06,63,2,,failed,drefine,1,0,0,0.0,0.498926,0.400337,1.879267,0.0,0.0
mnist_relu_3_50.tf,0.06,65,5,,failed,drefine,1,0,5,0.0,0.409607,0.355251,2.303985,0.0,0.0
mnist_relu_3_100.tf,0.06,65,3,,failed,drefine,1,0,5,0.0,0.644002,0.568243,7.42198,0.0,0.0
mnist_relu_3_100.tf,0.06,66,2,,failed,drefine,1,0,5,0.0,0.63805,0.356147,6.656172,0.0,0.0
